,biomass_MW,coal_MW,gas_MW,geothermal_MW,hydro_MW,oil_MW,other_MW,other_renewable_MW,solar_MW,waste_MW,wind_MW,carbon_intensity_gCO2_kWh,target_1h,target_2h,target_3h,target_4h,target_5h,target_6h,target_7h,target_8h,target_9h,target_10h,target_11h,target_12h,target_13h,target_14h,target_15h,target_16h,target_17h,target_18h,target_19h,target_20h,target_21h,target_22h,target_23h,target_24h,hour,day_of_week,month,hour_sin,hour_cos,week_sin,week_cos,month_sin,month_cos,is_weekend,lag_0h,lag_1h,lag_24h,lag_168h,rolling_mean_24h,rolling_std_24h
2026-09-22 14:00:00+00:00,3704.798765,15374.0349875,6176.9391975,19.00702,325.259325,296.441665,175.7528,71.451,29032.88375,811.219925,2363.7702825,344.8450220912044,440.0626265244843,524.0060565936096,556.8740099531733,559.9518706500934,579.7900470479261,610.6356656619071,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,14,1,9,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,344.8450220912044,285.1001422116845,198.33173329928357,263.48369992750605,394.62883193790884,114.6544189682422
2026-09-22 15:00:00+00:00,3912.53774,17696.974895,8283.7722725,19.00702,1053.0227249999998,297.128335,176.9398,71.451,16841.9785,831.961575,2590.1531225,440.0626265244843,524.0060565936096,556.8740099531733,559.9518706500934,579.7900470479261,610.6356656619071,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,15,1,9,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,440.0626265244843,344.8450220912044,259.36617107827846,351.00186620079745,400.73355230423886,107.42056261673889
2026-09-22 16:00:00+00:00,4142.247765,18164.8668325,9380.506115,19.00702,4649.856775,296.4691675,207.8583,71.451,4439.586,828.999225,2326.8747875,524.0060565936096,556.8740099531733,559.9518706500934,579.7900470479261,610.6356656619071,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,16,1,9,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,524.0060565936096,440.0626265244843,318.25835080845127,434.7461756375763,408.2625712811641,103.33622830329
2026-09-22 17:00:00+00:00,4186.828715,18386.852015,9691.1229725,19.00702,6012.269249999999,296.1783325,213.1668,71.451,97.51775,834.2572,2464.7339,556.8740099531733,559.9518706500934,579.7900470479261,610.6356656619071,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,459.2443316148484,17,1,9,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,556.8740099531733,524.0060565936096,342.1319886656921,465.5461852982842,416.8353923555457,104.07660353129812
2026-09-22 18:00:00+00:00,4144.95654,18318.4417475,9873.078765,19.00702,5312.315275,295.945,213.17005,71.451,0.32875,826.6654,2957.0456050000003,559.9518706500934,579.7900470479261,610.6356656619071,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,459.2443316148484,442.4459912398759,18,1,9,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,559.9518706500934,556.8740099531733,366.3776300837538,462.8646192930575,425.78297657585745,106.57583538714275
2026-09-22 19:00:00+00:00,4040.80374,17972.61764,9717.9199075,19.00702,3571.7773,296.495,213.0728,71.451,0.226,826.1961,3085.7590925,579.7900470479261,610.6356656619071,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,459.2443316148484,442.4459912398759,443.56806695403645,19,1,9,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,579.7900470479261,559.9518706500934,403.90027014731766,464.8426030835768,433.8485699327883,109.17763859103177
2026-09-22 20:00:00+00:00,3890.08524,17727.6709625,9643.472995,19.00702,1663.9124000000002,296.14,213.1563,71.451,0.17025,827.644625,2897.1835725,610.6356656619071,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,459.2443316148484,442.4459912398759,443.56806695403645,420.3052627079364,20,1,9,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,610.6356656619071,579.7900470479261,428.164053925611,452.5336216641865,441.1773106369803,112.9192418590087
2026-09-22 21:00:00+00:00,3779.841965,16797.3539925,8953.17582,19.00702,251.404275,296.1616675,213.06005,71.451,0.1265,614.705275,2508.89185,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,459.2443316148484,442.4459912398759,443.56806695403645,420.3052627079364,397.9626030658601,21,1,9,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,636.1816239183387,610.6356656619071,451.4719577419526,436.6458899300552,448.7802944593259,118.03220446901541
2026-09-22 22:00:00+00:00,3687.53779,16598.55899,8393.7910975,19.00702,175.397025,313.3015825,207.5793,71.451,0.09525,808.8255,2135.950495,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,459.2443316148484,442.4459912398759,443.56806695403645,420.3052627079364,397.9626030658601,364.6506298028017,22,1,9,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,648.5855610609977,636.1816239183387,472.3677729073236,431.16879878235017,456.47653055000865,124.08224371874755
2026-09-22 23:00:00+00:00,3634.69079,16486.761305,8388.46739,19.00702,73.4348,313.026335,207.53155,71.451,0.0695,801.6009,1906.94588,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,305.5436816062268,373.8078746146732,446.0403072224983,459.2443316148484,442.4459912398759,443.56806695403645,420.3052627079364,397.9626030658601,364.6506298028017,349.66774208597514,23,1,9,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,654.9393841228054,648.5855610609977,493.489400831792,447.6963617249229,463.81893838974514,130.12982796379225
